AgencyORI,AgencyLongName,CountyName,ReportingYear,Unf_Murder,Unf_Rape,Unf_Robbery,Unf_AggAssault,Unf_HumanTraff,Unf_Burglary,Unf_Larceny,Unf_MotorVehTheft,Unf_Arson,Actual_Murder,Actual_Rape,Actual_Robbery,Actual_AggAssault,Actual_HumanTraff,Actual_Burglary,Actual_Larceny,Actual_MotorVehTheft,Actual_Arson,Cleared_Murder,Cleared_Rape,Cleared_Robbery,Cleared_AggAssault,Cleared_HumanTraff,Cleared_Burglary,Cleared_Larceny,Cleared_MotorVehTheft,Cleared_Arson
MN0820500,St Paul Park Police Dept,Washington,2010,0,0,1,5,0,0,3,1,0,0,1,0,71,0,23,106,5,0,0,1,0,59,0,2,16,0,0
MN0820600,Stillwater Police Dept,Washington,2010,1,0,0,1,0,2,10,3,0,0,6,0,89,0,92,496,15,4,0,2,0,66,0,9,75,1,1
MN0820700,Cottage Grove Police Dept,Washington,2010,2,0,0,12,0,7,49,7,0,0,6,5,120,0,94,460,12,12,0,6,2,97,0,11,129,4,2
MN0820800,Oakdale Police Dept,Washington,2010,0,1,0,11,0,2,22,12,0,0,17,15,164,0,168,896,57,16,0,5,4,88,0,18,286,8,3
MN0821100,Woodbury Dept of Public Safety,Washington,2010,1,3,0,9,0,5,26,6,0,0,9,9,145,0,195,1062,50,3,0,1,4,127,0,16,202,14,1
MN0821400,Oak Park Heights Police Dept,Washington,2010,0,0,0,0,0,0,3,0,0,0,0,0,38,0,7,186,8,0,0,0,0,31,0,0,32,1,0
MN0830000,Watonwan County Sheriff,Watonwan,2010,0,0,0,0,0,0,1,1,0,2,2,0,27,0,14,41,5,1,2,1,0,25,0,3,11,2,1
MN0830200,St James Police Dept,Watonwan,2010,0,0,0,0,0,0,1,1,0,0,2,0,33,0,5,70,2,1,0,2,0,33,0,1,15,0,1
MN0840000,Wilkin County Sheriff,Wilkin,2010,0,0,0,3,0,5,17,2,0,0,0,0,6,0,11,34,1,0,0,0,0,6,0,0,18,1,0
MN0840100,Breckenridge Police Dept,Wilkin,2010,0,2,0,8,0,1,13,1,0,0,0,0,13,0,5,41,3,0,0,0,0,11,0,2,16,2,0
MN0850000,Winona County Sheriff,Winona,2010,0,1,0,0,0,1,5,1,0,1,0,1,50,0,45,63,10,0,1,0,1,45,0,14,19,6,0
MN0850100,St Charles Police Dept,Winona,2010,0,0,0,1,0,0,1,0,0,0,0,0,16,0,4,14,2,0,0,0,0,10,0,0,2,0,0
MN0850200,Winona Police Dept,Winona,2010,0,0,0,1,0,0,6,0,0,0,6,7,181,0,87,377,25,2,0,5,0,128,0,25,149,4,1
MN0850300,Goodview Police Dept,Winona,2010,0,0,0,11,0,4,8,1,0,0,3,0,30,0,24,58,9,1,0,2,0,28,0,6,25,6,0
MN0850400,Lewiston Police Dept,Winona,2010,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
MN0860000,Wright County Sheriff,Wright,2010,0,0,0,0,0,0,0,0,0,1,20,3,249,0,151,1526,59,6,1,20,1,246,0,30,364,19,3
MN0860100,Buffalo Police Dept,Wright,2010,0,0,0,4,0,0,14,2,0,0,8,1,90,0,34,336,13,2,0,3,1,68,0,1,111,0,1
MN0860600,Annandale Police Dept,Wright,2010,0,0,0,0,0,0,0,0,0,0,0,0,22,0,10,114,1,0,0,0,0,21,0,5,52,0,0
MN0870000,Yellow Medicine County Sheriff,Yellow Medicine,2010,0,0,0,0,0,0,0,0,0,0,1,0,26,0,13,38,1,0,0,1,0,13,0,2,3,0,0
MN0870200,Granite Falls Police Dept,Yellow Medicine,2010,0,0,0,0,0,0,0,0,0,0,1,0,21,0,4,21,1,0,0,0,0,18,0,3,4,1,0
MNMHP0000,MN State Patrol Waters Edge,State Patrol,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNMHP0100,MN State Patrol District 2400 - Oakdale,State Patrol,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNMHP0200,MN State Patrol District 2100 - Rochester,State Patrol,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNMHP0300,MN State Patrol District 2300 - Marshall,State Patrol,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNMHP0400,MN State Patrol District 2500 - Golden Valley,State Patrol,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNMHP0600,MN State Patrol District 2600 - St Cloud,State Patrol,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
